Planeta;Símb.;Diámetro ecuatorial*;Diámetro ecuatorial (km);Masa*;Radio orbital (UA);Periodo orbital (años);Periodo de rotación (días);Incl.**;Sat.***;Composición de la atmósfera;Planeta enano;Diámetro medio*;Diámetro (km);Masa*;Radio orbital (UA);Periodo orbital (años);Periodo de rotación (días);Satélites naturales;Satélite;Planeta;Diámetro (km);Periodo orbital;Planetas menores;Diámetro ecuatorial (km);Masa (M⊕);Radio orbital (UA);Periodo orbital (años);Periodo de rotación (días);
Mercurio;;0,39;4878;0,06;0,39;0,24;58,6667;7°;0;Trazas de hidrógeno y helio;Ceres;0,074;952,4;0,00016;2,766;4,599;0,3781;0;Luna;Tierra;3476;27d 7h 43,7m;Vesta;578×560×458;0,000 23;2,36;3,63;0,2226;
Venus;;0,95;12100;0,82;0,72;0,615;243;3,4°;0;96 % CO2, 3 % nitrógeno,0.1 % agua;Plutón;0,22;2370;0,0021;39,482;247,92;-6,3872;5;Ío;Júpiter;3643;1d 18h 27,6m;Orcus;840 - 1880;0,000 10 - 0,001 17;39,47;248;?;
Tierra;;1;12756;1;1;1;1;0°;1;78 % nitrógeno, 21 % oxígeno, 1 % argón;Haumea;0,09;1300-1900;0,0007;43,335;285,4;0,167;2;Europa;Júpiter;3122;3,551181 d;Ixion;~822;0,000 10 - 0,000 21;39,49;248;?;
Marte;;0,53;6787;0,11;1,52;1,88;1,03;1,9°;2;95 % CO2, 1.6 % argón, 3 % nitrógeno;Makemake;0,12;1.420 ± 60;0,0007;45,792;309,9;0.9375;1;Ganímedes;Júpiter;5262;7d 3h 42,6m;2002 UX25;910;0,000 123;42,9;277;0.599 - 0.699;
Júpiter;;11,2;142984;318;5,2;11,86;0,414;1,3°;79;90 % hidrógeno, 10 % helio, trazas de metano;Eris;0,19;2326;0,0028;67,668;557;10.417;1;Calisto;Júpiter;4821;16,6890184 d;2002 TX300;900;?;43,102;283;?;
Saturno;;9,41;120536;95;9,54;29,46;0,426;2,5°;82;96 % hidrógeno, 3 % helio, 0.5 % metano;;;;;;;;;Titán;Saturno;5162;15d 22h 41m;Varuna;900 - 1060;0,000 05 - 0,000 33;43,129;283;0,132 o 0,264;
Urano;;3,98;51108;14,6;19,19;84,01;0,718;0,8°;27;84 % hidrógeno, 14 % helio, 2 % metano;;;;;;;;;Tetis;Saturno;1062;1,888 d;1996 TO66;902 ?;?;43,2;285;7,92;
Neptuno;;3,81;49538;17,2;30,06;164,79;0,6745;1,8°;14;74 % hidrógeno, 25 % helio, 1 % metano;;;;;;;;;Dione;Saturno;1118;2,736915 d;Quaoar;1280;0,000 17 - 0,000 44;43,376;285;0.7366;
;;;;;;;;;;;;;;;;;;;Rea;Saturno;1529;4,518 d;2002 AW197;734;?;47;325;8,86;
;;;;;;;;;;;;;;;;;;;Jápeto;Saturno;1436;79d 19h 17m;2002 TC302;584,1 +105,6;0,003 98;55,535;413,86;?;
;;;;;;;;;;;;;;;;;;;Mimas;Saturno;416;22 h 37 min;;;;;;;
;;;;;;;;;;;;;;;;;;;Encélado;Saturno;499;32 h 53 m;;;;;;;
;;;;;;;;;;;;;;;;;;;Miranda;Urano;472;1,413 d;;−88,060​;;;;;
;;;;;;;;;;;;;;;;;;;Ariel;Urano;1162;2,52 d;Gonggong;1280;-;67,21;550;0.93;
;;;;;;;;;;;;;;;;;;;Umbriel;Urano;1172;4,144 d;Sedna;1180 - 1800;0,000 14 - 0,001 02;502,04;11500;~0.41;
;;;;;;;;;;;;;;;;;;;Titania;Urano;1577;8,706 d;2018 VG18;500;?;?;?;?;
;;;;;;;;;;;;;;;;;;;Oberón;Urano;1523;13,46 d;;;;;;;
;;;;;;;;;;;;;;;;;;;Tritón;Neptuno;2707;-5877 d;;;;;;;
;;;;;;;;;;;;;;;;;;;Caronte;Plutón;1207;6,387 230 d;;;;;;;
